method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
OURS,I-FGSM,2/255,vgg19,black_box,1000,941,41.344787848876244,0.9794065987454974,1.457040576615213,0.4973432518597237,0.237012987012987,616,1.0,,0,,0,2552.7568079999764
OURS,PGD,2/255,inception_v3,white_box,1,1,36.216149273817535,0.9663291606800014,2.2696826971819073,1.0,1.0,1,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,googlenet,white_box,1,1,36.216149273817535,0.9663291606800014,2.2696826971819073,0.0,0.0,1,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,densenet161,white_box,1,1,36.216149273817535,0.9663291606800014,2.2696826971819073,1.0,1.0,1,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,resnet50,black_box,1,1,36.216149273817535,0.9663291606800014,2.2696826971819073,1.0,1.0,1,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,vgg19,black_box,1,1,36.216149273817535,0.9663291606800014,2.2696826971819073,0.0,0.0,1,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,inception_v3,white_box,10,10,41.931298047549646,0.9786834276474854,1.4290719942311356,1.0,1.0,10,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,googlenet,white_box,10,10,41.931298047549646,0.9786834276474854,1.4290719942311356,0.5,0.5,10,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,densenet161,white_box,10,10,41.931298047549646,0.9786834276474854,1.4290719942311356,0.8,0.8,10,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,resnet50,black_box,10,10,41.931298047549646,0.9786834276474854,1.4290719942311356,0.4,0.25,8,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,vgg19,black_box,10,10,41.931298047549646,0.9786834276474854,1.4290719942311356,0.3,0.125,8,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,inception_v3,white_box,1000,934,41.34073563991123,0.9795051411705877,1.4622172294121927,0.9989293361884368,0.9989293361884368,934,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,googlenet,white_box,1000,934,41.34073563991123,0.9795051411705877,1.4622172294121927,0.6798715203426124,0.6798715203426124,934,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,densenet161,white_box,1000,934,41.34073563991123,0.9795051411705877,1.4622172294121927,0.7537473233404711,0.7537473233404711,934,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,resnet50,black_box,1000,934,41.34073563991123,0.9795051411705877,1.4622172294121927,0.4164882226980728,0.26358695652173914,736,1.0,,0,,0,2174.0110866000177
OURS,PGD,2/255,vgg19,black_box,1000,934,41.34073563991123,0.9795051411705877,1.4622172294121927,0.487152034261242,0.21911037891268534,607,1.0,,0,,0,2174.0110866000177
OURS,NI-FGSM,2/255,inception_v3,white_box,1,1,34.702859211198614,0.9551657581088784,2.362464293918909,1.0,1.0,1,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,googlenet,white_box,1,1,34.702859211198614,0.9551657581088784,2.362464293918909,1.0,1.0,1,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,densenet161,white_box,1,1,34.702859211198614,0.9551657581088784,2.362464293918909,1.0,1.0,1,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,resnet50,black_box,1,1,34.702859211198614,0.9551657581088784,2.362464293918909,1.0,1.0,1,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,vgg19,black_box,1,1,34.702859211198614,0.9551657581088784,2.362464293918909,0.0,0.0,1,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,inception_v3,white_box,10,10,40.226296924262314,0.9717362254374731,1.4898370876556517,1.0,1.0,10,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,googlenet,white_box,10,10,40.226296924262314,0.9717362254374731,1.4898370876556517,0.4,0.4,10,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,densenet161,white_box,10,10,40.226296924262314,0.9717362254374731,1.4898370876556517,0.6,0.6,10,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,resnet50,black_box,10,10,40.226296924262314,0.9717362254374731,1.4898370876556517,0.4,0.25,8,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,vgg19,black_box,10,10,40.226296924262314,0.9717362254374731,1.4898370876556517,0.3,0.125,8,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,inception_v3,white_box,1000,905,39.89738956957235,0.9731682892124984,1.5077673386563952,1.0,1.0,905,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,googlenet,white_box,1000,905,39.89738956957235,0.9731682892124984,1.5077673386563952,0.6033149171270719,0.6033149171270719,905,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,densenet161,white_box,1000,905,39.89738956957235,0.9731682892124984,1.5077673386563952,0.6651933701657459,0.6651933701657459,905,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,resnet50,black_box,1000,905,39.89738956957235,0.9731682892124984,1.5077673386563952,0.5082872928176796,0.3812849162011173,716,1.0,,0,,0,4695.89173979999
OURS,NI-FGSM,2/255,vgg19,black_box,1000,905,39.89738956957235,0.9731682892124984,1.5077673386563952,0.5569060773480663,0.32538330494037476,587,1.0,,0,,0,4695.89173979999
OURS,FGSM,4/255,inception_v3,white_box,1,1,32.70741856983254,0.936739515061097,2.456725112525403,1.0,1.0,1,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,googlenet,white_box,1,1,32.70741856983254,0.936739515061097,2.456725112525403,0.0,0.0,1,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,densenet161,white_box,1,1,32.70741856983254,0.936739515061097,2.456725112525403,1.0,1.0,1,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,resnet50,black_box,1,1,32.70741856983254,0.936739515061097,2.456725112525403,1.0,1.0,1,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,vgg19,black_box,1,1,32.70741856983254,0.936739515061097,2.456725112525403,0.0,0.0,1,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,inception_v3,white_box,10,10,38.711045400115616,0.9599439078113768,1.5126884868183743,1.0,1.0,10,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,googlenet,white_box,10,10,38.711045400115616,0.9599439078113768,1.5126884868183743,0.4,0.4,10,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,densenet161,white_box,10,10,38.711045400115616,0.9599439078113768,1.5126884868183743,0.7,0.7,10,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,resnet50,black_box,10,10,38.711045400115616,0.9599439078113768,1.5126884868183743,0.5,0.375,8,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,vgg19,black_box,10,10,38.711045400115616,0.9599439078113768,1.5126884868183743,0.3,0.125,8,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,inception_v3,white_box,1000,988,38.18937624231822,0.961208634232745,1.4599862412379807,0.9989878542510121,0.9989878542510121,988,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,googlenet,white_box,1000,988,38.18937624231822,0.961208634232745,1.4599862412379807,0.6892712550607287,0.6892712550607287,988,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,densenet161,white_box,1000,988,38.18937624231822,0.961208634232745,1.4599862412379807,0.728744939271255,0.728744939271255,988,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,resnet50,black_box,1000,988,38.18937624231822,0.961208634232745,1.4599862412379807,0.5232793522267206,0.4063694267515924,785,1.0,,0,,0,1074.8299231000128
OURS,FGSM,4/255,vgg19,black_box,1000,988,38.18937624231822,0.961208634232745,1.4599862412379807,0.5536437246963563,0.3399390243902439,656,1.0,,0,,0,1074.8299231000128
OURS,I-FGSM,4/255,inception_v3,white_box,1,1,35.8772967393429,0.9632834558995484,2.2898462571744767,1.0,1.0,1,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,googlenet,white_box,1,1,35.8772967393429,0.9632834558995484,2.2898462571744767,0.0,0.0,1,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,densenet161,white_box,1,1,35.8772967393429,0.9632834558995484,2.2898462571744767,1.0,1.0,1,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,resnet50,black_box,1,1,35.8772967393429,0.9632834558995484,2.2898462571744767,1.0,1.0,1,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,vgg19,black_box,1,1,35.8772967393429,0.9632834558995484,2.2898462571744767,0.0,0.0,1,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,inception_v3,white_box,10,10,40.14843692951433,0.9715223430232477,1.5352289789852147,1.0,1.0,10,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,googlenet,white_box,10,10,40.14843692951433,0.9715223430232477,1.5352289789852147,0.7,0.7,10,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,densenet161,white_box,10,10,40.14843692951433,0.9715223430232477,1.5352289789852147,1.0,1.0,10,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,resnet50,black_box,10,10,40.14843692951433,0.9715223430232477,1.5352289789852147,0.4,0.25,8,1.0,,0,,0,2094.8373226000112
OURS,I-FGSM,4/255,vgg19,black_box,10,10,40.14843692951433,0.9715223430232477,1.5352289789852147,0.3,0.125,8,1.0,,0,,0,2094.8373226000112
