method,attack,epsilon,model,model_role,sample_count,generated_count,psnr,ssim,ciede2000,asr_paper_denominator,asr_clean_correct_only,strict_asr_sample_count,exact_container_recovery_rate,paper_rgb_recovery_rate,sup_png_verified_count,sup_png_recovery_rate,maximum_channel_error,runtime_seconds
YACK,NI-FGSM,2/255,googlenet,white_box,10,10,40.84646499891443,0.9747234330433002,1.4400008916131202,0.0,0.0,10,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,densenet161,white_box,10,10,40.84646499891443,0.9747234330433002,1.4400008916131202,0.0,0.0,10,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,resnet50,black_box,10,10,40.84646499891443,0.9747234330433002,1.4400008916131202,0.3,0.125,8,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,vgg19,black_box,10,10,40.84646499891443,0.9747234330433002,1.4400008916131202,0.2,0.0,8,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,inception_v3,white_box,1000,958,40.85298435570679,0.977331555982032,1.4362925237164708,1.0,1.0,958,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,googlenet,white_box,1000,958,40.85298435570679,0.977331555982032,1.4362925237164708,0.05010438413361169,0.05010438413361169,958,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,densenet161,white_box,1000,958,40.85298435570679,0.977331555982032,1.4362925237164708,0.017745302713987474,0.017745302713987474,958,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,resnet50,black_box,1000,958,40.85298435570679,0.977331555982032,1.4362925237164708,0.2860125260960334,0.1067193675889328,759,1.0,,0,,0,2473.1267741000047
YACK,NI-FGSM,2/255,vgg19,black_box,1000,958,40.85298435570679,0.977331555982032,1.4362925237164708,0.40187891440501045,0.11410459587955626,631,1.0,,0,,0,2473.1267741000047
YACK,FGSM,4/255,inception_v3,white_box,1,1,35.91879058856706,0.9601196619891459,1.442024551678962,1.0,1.0,1,1.0,,0,,0,1274.152516400034
YACK,FGSM,4/255,googlenet,white_box,1,1,35.91879058856706,0.9601196619891459,1.442024551678962,0.0,0.0,1,1.0,,0,,0,1274.152516400034
YACK,FGSM,4/255,densenet161,white_box,1,1,35.91879058856706,0.9601196619891459,1.442024551678962,0.0,0.0,1,1.0,,0,,0,1274.152516400034
